account,coin,execution_price,size_tokens,size_usd,side,timestamp_ist,start_position,direction,closed_pnl,transaction_hash,order_id,crossed,fee,trade_id,timestamp,trade_date,fear_greed_value,classification,net_pnl,is_realized,is_win,pnl_per_1000_usd,position_abs,sentiment_bucket
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.9457,110.82,880.54,BUY,2024-12-02 22:54:00,6888.768089,Buy,0.0,0xef8b5ed662586d4455030418413ecd01f3009832c599baba9307c5e77a0a81f3,52019096364,True,0.03878689,720000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.03878689,False,False,-0.04404898130692529,6888.768089,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.4791,2.0,14.96,BUY,2024-12-02 23:13:00,6999.549302,Buy,0.0,0x40a5eae7d00acbbfc3c7041841836c02010a00f9d7d3efb504650447a28be717,52025109688,True,0.00069995,1040000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.00069995,False,False,-0.04678810160427807,6999.549302,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.4832,144.09,1078.25,BUY,2024-12-02 23:13:00,7001.548602,Buy,0.0,0x40a5eae7d00acbbfc3c7041841836c02010a00f9d7d3efb504650447a28be717,52025109688,True,0.05043149,385000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.05043149,False,False,-0.046771611407373063,7001.548602,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.4898,340.3,2548.78,BUY,2024-12-02 23:13:00,7145.58817,Buy,0.0,0x40a5eae7d00acbbfc3c7041841836c02010a00f9d7d3efb504650447a28be717,52025109688,True,0.11910491,227000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.11910491,False,False,-0.04673016502012727,7145.58817,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.49,1513.61,11336.94,BUY,2024-12-02 23:13:00,7485.769065,Buy,0.0,0x40a5eae7d00acbbfc3c7041841836c02010a00f9d7d3efb504650447a28be717,52025109688,True,0.52976341,245000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.52976341,False,False,-0.04672895948995055,7485.769065,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5204,100.0,752.04,BUY,2024-12-02 23:21:00,8998.849302,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.035,302000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.035,False,False,-0.046540077655443865,8998.849302,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5205,80.84,607.96,BUY,2024-12-02 23:21:00,9098.814302,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.02829399,248000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.02829399,False,False,-0.04653922955457596,9098.814302,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5207,144.09,1083.66,BUY,2024-12-02 23:21:00,9179.626008,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.05043147,524000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.05043147,False,False,-0.04653809312884115,9179.626008,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5282,144.09,1084.74,BUY,2024-12-02 23:21:00,9323.665576,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.05043144,234000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.05043144,False,False,-0.04649173073731954,9323.665576,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5354,98.0,738.47,BUY,2024-12-02 23:21:00,9467.705145,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.03429997,408000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.03429997,False,False,-0.04644734383251858,9467.705145,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5356,43.09,324.71,BUY,2024-12-02 23:21:00,9565.670845,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.01508147,969000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.01508147,False,False,-0.04644596717070617,9565.670845,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5357,144.09,1085.82,BUY,2024-12-02 23:21:00,9608.745764,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.05043141,88000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.05043141,False,False,-0.046445460573575736,9608.745764,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5359,133.07,1002.8,BUY,2024-12-02 23:21:00,9752.785332,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.04657439,1020000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.04657439,False,False,-0.04644434583167132,9752.785332,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,7.5362,114.73,864.63,BUY,2024-12-02 23:21:00,9885.808758,Buy,0.0,0xd273459b8ff175c0c53d041841a2b00201f80053c9adb62a930c0ff2b3d863c0,52027812614,True,0.04015538,920000000000000.0,1730000000000.0,2024-12-02,80.0,Extreme Greed,-0.04015538,False,False,-0.04644227010397511,9885.808758,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.057,2446.39,22156.95,SELL,2024-12-03 14:39:00,10000.4986,Sell,3008.231185,0x7b57a76296641058064004184ed84d01d0005daded345e8e64aab2df686f3b1d,52200758791,True,7.754933,519000000000000.0,1730000000000.0,2024-12-03,76.0,Extreme Greed,3000.476252,True,True,135.41919135982164,10000.4986,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.057,25.0,226.43,SELL,2024-12-03 14:39:00,7554.108602,Sell,30.741534,0x7b57a76296641058064004184ed84d01d0005daded345e8e64aab2df686f3b1d,52200758791,True,0.079248,335000000000000.0,1730000000000.0,2024-12-03,76.0,Extreme Greed,30.662286,True,True,135.41618160137793,7554.108602,Extreme Greed
